0.001  0.000364171  0.000364947
0.00107191  0.000420555  0.000421538
0.001149  0.00048727  0.000488381
0.001149  0.00046715  0.000468234
0.0015  0.000839154  0.000841626
0.002  0.00164174  0.00164964
0.003  0.0044061  0.00444668
0.004  0.00905187  0.00919513
0.0047822  0.0142357  0.014556
0.0047822  0.00493869  0.00525436
0.005  0.00536287  0.00569899
0.0051037  0.00567165  0.00602133
0.0051037  0.00419013  0.00449272
0.00527536  0.00452295  0.00484241
0.0054528  0.00490337  0.00524231
0.0054528  0.00425092  0.0045542
0.006  0.00537632  0.00573331
0.008  0.0113059  0.0119399
0.01  0.0202837  0.0213579
0.015  0.0596891  0.0632462
0.02  0.129259  0.139065
0.03  0.383868  0.43016
0.0345614  0.559299  0.640498
0.0345614  0.103376  0.315649
0.04  0.151011  0.367687
0.05  0.269492  0.524151
0.06  0.438076  0.754888
0.08  0.943558  1.44395
0.1  1.7046  2.49124
0.15  4.75971  7.00438
0.2  9.11687  14.4456
0.3  19.0759  36.0003
0.4  28.029  59.5026
0.5  35.3433  79.4057
0.6  41.3953  94.7731
0.8  51.1939  115.966
1  59.2557  130.34
1.25  67.8264  144.152
1.5  74.6179  154.342
2  84.0595  165.601
3  93.1254  167.872
4  95.833  161.088
5  95.6725  153.033
6  94.3298  145.87
8  90.2803  134.271
10  85.978  126.027
15  77.1191  114.189
20  71.193  109.205
